# Task: bending1,,,,,,
# Frequency (Hz): 20,,,,,,
# Clock (millisecond): 250,,,,,,
# Duration (seconds): 120,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
46750,44.75,0.43,24.75,0.83,37.5,1.5
47000,44.75,0.43,22,1.41,37,1.41
47250,42,2.12,20.25,1.3,35.5,1.5
47500,36.75,2.28,22.25,0.83,32.5,0.5
47750,36.75,0.83,23.5,1.8,32.25,0.83
48000,39.33,0.47,27,0,33,0
48250,37.5,1.5,24.75,1.3,33,0
48500,39.33,2.05,21,0,31.75,0.83
48750,43.25,0.83,22,1.22,30.75,0.83
49000,45,0,25.25,0.83,33.75,1.3
49250,46,0.71,25,0.71,36.75,0.83
49500,46.25,0.83,25.25,0.83,36.75,0.83
49750,45.25,0.43,22.25,1.3,36,0
50000,42,2.12,21,0,32.75,0.43
50250,36,2.12,24.25,0.83,34,1.41
50500,35.5,1.5,25,1.22,35.25,1.3
50750,37.75,1.79,22.33,1.25,33,0
51000,42.33,0.47,24,0,33,0
51250,44.8,0.4,25,1.26,36,1.53
51500,46.25,0.43,27.5,0.5,37.25,1.3
51750,46.25,0.83,27.75,1.09,36.75,0.83
52000,45.25,0.43,25.33,0.47,36,0
52250,42,2.12,21.5,1.5,36,0
52500,35.67,2.49,24.75,0.83,36.33,0.47
52750,35.67,0.47,26.33,0.47,36.25,0.43
53000,36.75,1.3,24.75,1.3,34.5,1.5
53250,41.5,0.87,17.5,2.06,33.75,1.3
53500,44.75,0.43,19.75,2.38,36,0
53750,45.25,0.43,20.33,1.7,35.33,0.94
54000,46,1,24,0,36,0
54250,45.5,0.5,23.67,0.47,36,0
54500,45,0,24,0,33.75,1.3
54750,45,0,24,0,33,0
55000,45,0,22,2.12,33,0
55250,44.33,0.47,21,0,32,0
55500,43.5,1.12,21,0,32.75,0.43
55750,43,0,21.25,0.43,33,0
56000,44,1,22.75,0.43,33,0
56250,45,0,24,0,33,0
56500,45,0,22,1,33.75,1.3
56750,45,0,20.25,0.83,36,0
57000,45.25,0.43,18.75,1.3,36,0
57250,43.75,1.09,22.75,1.09,33.75,1.3
57500,38.75,2.17,24,0,33,0
57750,35,1.22,26.25,1.3,33.75,1.3
58000,36,0,27,0.63,33.6,1.2
58250,39.25,1.79,24,0.71,35.25,1.3
58500,43.5,1.12,21,0,36,0
58750,45,0,22,0.82,36,0
59000,45.25,0.43,24,0,36.5,0.5
59250,45.75,0.43,24,0,36.5,0.5
59500,45.25,0.43,23,1.22,36.25,0.43
59750,44,1.22,20.5,0.5,36,0
60000,39.75,1.79,23.5,0.87,35,1.22
60250,36.67,0.94,26,1.22,34.67,1.25
60500,35.25,1.3,27.25,0.43,36,0
60750,36.67,0.94,26,1.41,34.5,1.5
61000,43.25,1.3,21.5,0.87,35.25,1.3
61250,45,0,20.33,0.47,36,0
61500,45,0,22.5,1.12,36.25,0.43
61750,45.75,0.43,24,0,36.75,0.83
62000,45.5,0.5,24,0,36.75,0.83
62250,45.5,0.5,23.75,0.43,36.5,0.5
62500,44.25,1.3,21.25,0.43,36,0
62750,39,2.12,25.25,1.3,35.25,1.3
63000,36,0,27.33,0.47,35,1.41
63250,37.75,1.3,25,1.41,33,0
63500,42,1.41,21.5,2.29,33,0
63750,45,0,15.5,1.12,35.25,1.3
64000,45,0,20.25,0.83,36,0
64250,45,0,24,0,36,0
64500,45,0,23.67,0.47,36.5,0.5
64750,45,0,23,1.22,36,0
65000,43.5,1.12,20.5,0.5,36,0
65250,40.5,1.5,21,0.82,36,0
65500,38.75,1.09,23.5,1.5,36,0
65750,42.25,0.43,18.67,0.94,36,0
66000,45,0,21,0.71,36.25,0.43
66250,45.25,0.43,24.5,0.5,37.25,1.3
66500,46,0.71,26,0.71,37,1
66750,45.75,0.83,24.75,0.83,36.25,0.43
67000,45,0,21.5,0.87,35,1.41
67250,43,1,23,1.22,33,0
67500,37.75,1.3,24.25,0.43,32.5,0.87
67750,36.33,0.47,24,0,29.75,0.43
68000,36.75,0.83,22.25,0.83,29.75,0.43
68250,38.5,0.5,19,3.08,29.5,0.87
68500,41.75,0.43,10,0.82,30,0.71
68750,43.25,0.43,8.5,2.6,31,0
69000,44.25,0.43,15.5,2.29,31,0
69250,45,0,20,1.41,31,0
69500,45,0,21.75,0.83,31.67,0.47
69750,44.75,0.43,19.75,1.09,32.5,0.5
70000,42.33,0.47,15.5,0.87,32.67,0.47
70250,36.25,2.05,19,2.74,30.25,0.43
70500,33,0,21,0,29.5,0.5
70750,33.75,1.3,17,3.27,30,0
71000,39.75,0.83,13,1.22,31.75,1.09
71250,42,0,17.25,1.92,33,0
71500,43.75,0.43,17.75,1.79,33.75,1.3
71750,44.25,0.43,17.25,1.48,36,0
72000,44.75,0.43,19.75,1.3,37.25,1.3
72250,45,0,14.67,2.87,37.33,1.25
72500,45,0,16.5,3.35,36.5,0.5
72750,45,0,15.33,1.7,38.33,0.94
73000,43.75,0.83,17.25,0.43,38.5,0.5
73250,42.25,0.43,15,0,38,0.71
73500,41.33,0.94,15.33,4.5,35.5,1.5
73750,39.25,1.09,23.75,0.43,30.25,1.09
74000,38.25,0.83,23.5,0.87,28.75,0.43
74250,39.5,0.87,19.75,0.83,30,0
74500,41.75,0.43,16.25,2.68,30,0
74750,41.5,0.5,12,1.41,29.33,0.47
75000,40.75,1.09,17.75,1.48,29.25,0.43
75250,38.5,0.5,21,0,28,0.71
75500,39,0,22,0,28.33,0.47
75750,39.2,0.4,21.25,0.43,29.4,0.49
76000,41,0.82,21,0,30,0
76250,42.25,0.43,20.5,0.87,30.25,0.43
76500,43,0.82,16.33,0.47,30.25,0.43
76750,42.25,0.43,17.75,0.43,30,0
77000,40.5,1.12,18,0,29.5,0.87
77250,38.5,1.5,19.75,1.48,28.75,0.43
77500,36.5,0.87,23,0.71,29.5,0.5
77750,36,0,23.25,1.3,30,0
78000,39.75,1.3,14.75,2.17,29.75,0.43
78250,42,0,18,2.45,30.67,0.47
78500,42,0,19.5,1.12,32.5,0.5
78750,42,0,20.25,1.3,32.67,0.47
79000,41.75,0.43,21,2.16,32.33,0.47
79250,43,0.82,26,1.41,32,0
79500,44,0.82,26.33,0.47,31.75,0.43
79750,43.5,1.12,24.5,0.87,30.25,0.43
80000,42,0,21.25,0.43,30,0
80250,40.75,1.09,21,0,30.25,0.43
80500,39,0.71,21,0,30,0
80750,36.5,1.5,23.5,0.87,30,0
81000,35,1.41,25,0.82,32,0.71
81250,36,0,24.5,0.87,32.25,0.83
81500,40,1,23,0.82,31.67,0.47
81750,42.33,0.47,21.25,0.43,31,0.71
82000,43,0.82,21.5,0.87,30.33,0.47
82250,41.67,0.47,17.67,0.47,31.5,0.87
82500,39,2.12,21.75,1.92,32.75,0.43
82750,34.5,1.5,25.75,1.3,35.25,1.3
83000,35.25,1.3,26.75,0.43,34.5,1.5
83250,35.25,1.48,24.75,1.3,32.5,0.87
83500,40.75,1.3,18.25,2.38,32.5,0.87
83750,43,0.71,19.75,1.3,33.75,1.3
84000,45,0,23,1.41,35,1.41
84250,45,0,24,0,36,0
84500,44,1.22,23.67,0.47,32.25,0.83
84750,41.25,1.92,19.5,1.12,29.75,0.43
85000,35.25,2.49,23.25,1.48,31,1
85250,36,0,26.75,0.43,32.67,0.47
85500,36,0,26.33,0.47,33,0
85750,35,1.41,25.67,0.94,33,0
86000,35.6,1.36,24,1.26,32.25,0.43
86250,41.25,1.48,16.25,1.79,32,0.82
86500,44.5,0.87,22.5,1.5,33,0
86750,45,0,26,0.82,35.25,1.3
87000,45,0,27,0,35.25,1.3
87250,45,0,26.5,0.87,33,0
87500,43.5,1.12,22,2.74,32.75,0.43
87750,40.25,1.48,18.5,1.8,31.5,0.5
88000,36,2.12,23,1.22,32.5,0.5
88250,36,0,26.33,0.47,34,1.41
88500,35.75,0.43,24.75,0.83,33,0
88750,40.25,1.3,17.67,2.05,31,0
89000,42.75,0.83,15,2.55,32.25,0.43
89250,45,0,19.5,0.5,34.5,1.5
89500,45,0,20,1.22,36,0
89750,44,1,17.75,2.38,33.75,1.3
90000,40.5,1.5,24,0,31.75,1.09
90250,37,0.82,25.67,1.25,29.75,0.43
90500,36.25,0.43,27.75,0.43,30.25,0.43
90750,37,1,28.33,0.47,31.33,0.47
91000,37.75,1.79,25,1.67,30.2,0.4
91250,42.75,0.83,21.5,0.5,31.5,1.12
91500,44.75,0.43,20.25,2.28,33,0
91750,44.75,0.43,20.25,1.3,32.75,0.43
92000,42.5,1.8,17.25,2.49,30.5,0.5
92250,37.25,2.86,23.67,0.47,31.67,0.47
92500,36.25,0.43,27.25,2.17,34,2.12
92750,36,0,29.25,0.43,35.25,1.3
93000,38.67,0.47,24.5,0.87,33,0
93250,40.33,0.94,23.33,0.94,36,2.12
93500,42,0,18.75,2.49,38,1
93750,43,0.71,17.5,2.87,37.75,0.83
94000,45,0,24.75,1.3,37,1
94250,45.25,0.43,27.75,0.83,38.25,0.83
94500,45,0,25.5,1.12,37,0.71
94750,44.5,0.5,24,0,36.33,0.47
95000,43.75,0.83,23,1.22,34.5,1.5
95250,42.75,0.83,20.5,0.5,31.75,0.83
95500,43,0.82,22.5,1.12,30,0
95750,42.67,0.47,24,0,28.5,1.12
96000,42,0,24.5,0.5,27,0.71
96250,41.33,0.47,24,0,26.75,0.83
96500,42.5,0.5,26.5,0.5,26.5,0.5
96750,44.5,0.5,27.5,0.5,27,0
97000,45,0,27.5,0.5,27.5,0.5
97250,44.5,0.87,27.25,0.43,27.25,0.83
97500,42,1.41,24,2.45,26,1
97750,34.5,1.5,9,4.53,23.5,2.18
98000,36,0,17.5,0.87,20,1.22
98250,35,1.41,12.67,1.25,21.25,1.09
98500,41,1.26,23,3.16,24,0
98750,43.75,1.09,27,0,26.5,0.87
99000,45,0,25.33,0.94,28,0
99250,45,0,24,0,28.5,0.5
99500,45,0,24,0,28.5,0.5
99750,44.75,0.43,26.75,0.43,27.25,0.83
100000,41.75,1.79,22.25,4.02,26.25,0.83
100250,37,1.22,15.5,2.29,25.25,1.3
100500,36,0,19,0.71,24.5,0.5
100750,36.25,0.43,18.67,0.47,25.67,0.94
101000,40.75,1.3,18,2.74,26.75,0.43
101250,43.33,1.25,26.25,1.3,26.67,0.47
101500,45,0,24,0,29,0.71
101750,45,0,21.75,0.43,30,0
102000,45,0,23,0.71,30,0
102250,44.75,0.43,24,0,29.5,0.5
102500,42.75,1.48,23.25,1.3,27.5,1.5
102750,37.25,2.86,10.25,5.02,26.25,0.83
103000,36,0,15.25,2.05,26.75,0.43
103250,35.75,1.09,17.33,0.47,26.33,0.94
103500,36,0,11,4.24,26.33,0.47
103750,40.67,1.25,19.75,4.02,26.33,0.47
104000,43.5,0.87,24.75,0.83,26.75,0.43
104250,44.75,0.43,24,0,29.25,0.43
104500,45,0,22,0.71,29.5,0.5
104750,45,0,23.33,0.47,29.5,0.5
105000,43.75,1.09,24,0,28,1.41
105250,41.25,1.48,18.75,3.77,26.67,0.47
105500,36.75,1.3,14.75,1.48,26.5,0.87
105750,36,0,18,0,26.75,0.43
106000,35,1.41,15.75,2.49,26.67,0.47
106250,39.75,1.92,18.25,3.34,27,0
106500,42.25,0.43,24.33,0.47,27.33,0.47
106750,44.75,0.43,24.25,0.43,29.75,0.43
107000,45,0,23.25,0.43,30,0
107250,45,0,22.75,0.43,30,0
107500,44.33,0.47,24,0,29.67,0.47
107750,42.25,0.43,22.75,1.3,28.75,0.83
108000,38.6,1.5,18,0.71,26,1.41
108250,36.33,0.47,21,0,24,0
108500,34.67,1.25,20.25,0.43,24,0
108750,34.67,1.25,18.33,0.47,22.33,1.25
109000,36.75,0.83,15.75,1.48,22.75,1.09
109250,40.75,1.3,21.5,2.29,26.25,1.3
109500,43.33,0.47,24,0,30.33,0.47
109750,45,0,21.33,0.47,31.5,0.5
110000,45,0,20.25,0.43,31.5,0.5
110250,44.75,0.43,21.25,1.09,31,0
110500,43.25,1.09,23.67,0.47,30,0
110750,39,2.12,15.67,3.68,27,0.82
111000,34.5,1.5,12.33,2.05,24,0
111250,36.5,0.87,18.5,0.5,24.25,0.43
111500,36.33,0.47,18.33,0.47,24.75,0.83
111750,35.25,1.3,10,5.15,24.5,0.87
112000,40.75,1.3,22,2.45,27.25,0.43
112250,42.75,0.83,23.5,0.87,30.5,1.5
112500,44.5,0.5,16,4.06,32.75,0.43
112750,45,0,13,3.74,34,1.41
113000,45,0,22,0.82,35,1.41
113250,45,0,24,0,35.5,0.87
113500,45,0,23.5,0.5,34.5,1.5
113750,45,0,22.25,0.83,33,0
114000,44.25,0.83,21.75,0.83,31.75,0.43
114250,43.33,0.47,21,0.71,30.67,0.47
114500,42,0.71,23.25,1.3,30.25,0.43
114750,40,1.41,22.25,1.79,31.33,0.47
115000,35,1.41,21.67,1.7,30.25,0.43
115250,37.33,1.25,24,0,30,0
115500,39,0,24.25,0.43,30,0
115750,38.75,0.43,24,0,30,0
116000,36,2.12,24,0,30,0
116250,36.5,2.29,20.5,1.8,30,0
116500,42.5,0.5,25,1.58,30,0
116750,44.25,0.43,26.25,0.83,30,0
117000,44.5,0.5,25.5,0.5,30,0
117250,44.5,0.5,25.33,0.47,30,0
117500,42.25,1.09,24.75,0.83,28,1
117750,40,1.41,18.75,3.49,26.67,0.47
118000,36.75,0.83,11.67,0.47,25.67,1.25
118250,36.33,0.47,12,0,24.25,0.43
118500,37.25,0.83,9.67,1.25,23.75,0.43
118750,39,0,11.5,4.72,23.75,0.43
119000,41.5,0.5,22.25,1.92,26.25,1.3
119250,42,0,23.5,0.87,29.75,0.43
119500,42.5,0.5,21,0,30,0
119750,43.25,0.43,23.75,0.43,28.25,0.43
